particles,temperature,humidity,pressure,door_status,user_id,attack_status,timestamp
362,29.12,76.88,24.74,CLOSED,user_11,NORMAL,2026-01-03T15:23:17.632386
49,27.37,59.86,21.02,OPEN,user_7,NORMAL,2026-01-03T15:23:22.647378
157,23.45,44.02,24.16,OPEN,user_10,NORMAL,2026-01-03T15:23:27.695552
291,26.31,39.56,23.64,OPEN,user_7,NORMAL,2026-01-03T15:23:32.708633
456,17.62,65.88,16.5,OPEN,user_14,NORMAL,2026-01-03T15:23:37.737968
51,16.38,44.07,9.51,OPEN,user_15,NORMAL,2026-01-03T15:23:42.772251
242,18.83,43.46,8.67,CLOSED,user_9,NORMAL,2026-01-03T15:23:47.780330
8,18.59,46.05,16.29,OPEN,user_15,NORMAL,2026-01-03T15:23:52.795410
454,15.4,41.9,21.56,OPEN,user_13,NORMAL,2026-01-03T15:23:57.823930
79,24.51,56.88,13.17,CLOSED,user_15,NORMAL,2026-01-03T15:24:02.868799
158,19.98,64.9,5.54,CLOSED,user_8,NORMAL,2026-01-03T15:24:07.894834
216,22.63,71.34,23.02,CLOSED,user_11,NORMAL,2026-01-03T15:24:12.927012
6,16.06,41.53,5.84,OPEN,user_13,NORMAL,2026-01-03T15:24:17.944464
365,21.97,30.07,20.73,OPEN,user_6,NORMAL,2026-01-03T15:24:22.959518
384,29.86,52.68,14.34,CLOSED,user_7,NORMAL,2026-01-03T15:24:27.980134
140,27.16,55.72,11.27,OPEN,user_1,NORMAL,2026-01-03T15:24:32.991067
236,17.87,71.08,23.02,CLOSED,user_4,NORMAL,2026-01-03T15:24:38.005607
425,29.73,59.79,7.99,CLOSED,user_7,NORMAL,2026-01-03T15:24:43.027505
141,27.06,32.0,24.59,CLOSED,user_10,NORMAL,2026-01-03T15:24:48.055773
266,16.27,53.84,23.74,OPEN,user_7,NORMAL,2026-01-03T15:24:53.094040
4,23.8,43.0,17.05,CLOSED,user_7,NORMAL,2026-01-03T15:24:58.108147
396,23.25,33.68,8.32,CLOSED,user_5,NORMAL,2026-01-03T15:25:03.113786
228,21.32,68.28,23.53,OPEN,user_14,NORMAL,2026-01-03T15:25:08.130613
301,28.77,41.74,17.0,CLOSED,user_10,NORMAL,2026-01-03T15:25:13.149051
384,22.92,53.18,19.44,OPEN,user_3,NORMAL,2026-01-03T15:25:18.162600
435,26.91,32.34,6.79,OPEN,user_5,NORMAL,2026-01-03T15:25:23.168689
270,28.67,39.23,5.99,OPEN,user_13,NORMAL,2026-01-03T15:25:28.189897
73,16.08,50.54,19.67,CLOSED,user_12,NORMAL,2026-01-03T15:25:33.233237
480,18.79,58.41,18.9,CLOSED,user_3,NORMAL,2026-01-03T15:25:38.267103
343,25.52,60.67,14.44,CLOSED,user_8,NORMAL,2026-01-03T15:25:43.281294
